なにが ほしいですか。	Anda ingin apa?	ဘာလိုချင်လဲ။
あたらしい くるまが ほしいです。	Saya ingin mobil baru.	ကားအသစ် လိုချင်ပါတယ်။
どんな くるまが ほしいですか。	Mobil seperti apa yang Anda inginkan?	ဘယ်လိုကားမျိုး လိုချင်လဲ။
しろい くるまが ほしいです。	Ingin mobil putih.	ကားအဖြူ လိုချင်ပါတယ်။
カメラも ほしいですか。	Apakah Anda ingin kamera juga?	ကင်မရာလည်း လိုချင်လား။
はい、いい カメラを かいたいです。	Ya, saya ingin membeli kamera yang bagus.	ဟုတ်ကဲ့၊ ကင်မရာကောင်းကောင်း ဝယ်ချင်ပါတယ်။
しゅうまつ どこかへ いきたいですか。	Akhir pekan Anda ingin pergi ke suatu tempat?	စနေတနင်္ဂနွေ တစ်နေရာရာ သွားချင်လား။
はい、きょうとへ あそびに いきたいです。	Ya, saya ingin pergi jalan-jalan ke Kyoto.	ဟုတ်ကဲ့၊ ကျိုတိုကို လည်ပတ်သွားချင်ပါတယ်။
わたしも いっしょに いきたいです。	Saya juga ingin ikut pergi.	ကျွန်တော်လည်း အတူတူ လိုက်သွားချင်ပါတယ်။
じゃあ、いっしょに いきましょう。	Kalau begitu, ayo pergi bersama.	ဒါဆိုရင် အတူတူ သွားကြရအောင်။
なつやすみに なにを したいですか。	Liburan musim panas Anda ingin melakukan apa?	နွေရာသီပိတ်ရက်မှာ ဘာလုပ်ချင်လဲ။
うみへ およぎに いきたいです。	Ingin pergi berenang ke laut.	ပင်လယ်ကို ရေကူးသွားချင်ပါတယ်။
どこの うみへ いきたいですか。	Ingin pergi ke laut mana?	ဘယ်ပင်လယ်ကို သွားချင်လဲ။
おきなわへ いきたいです。	Ingin pergi ke Okinawa.	အိုကီနာဝါကို သွားချင်ပါတယ်။
いいですね。わたしは やまへ のぼりに いきたいです。	Bagus, ya. Saya ingin pergi mendaki gunung.	ကောင်းတယ်နော်။ ကျွန်တော်ကတော့ တောင်တက်သွားချင်ပါတယ်။
そうですか。なにが いちばん ほしいですか。	Oh begitu. Apa yang paling Anda inginkan?	ဟုတ်လား။ ဘာကို အလိုချင်ဆုံးလဲ။
あたらしい カメラが ほしいです。やまの しゃしんを とりたいですから。	Ingin kamera baru. Karena ingin memotret gunung.	ကင်မရာအသစ် လိုချင်ပါတယ်။ တောင်ရဲ့ဓာတ်ပုံတွေ ရိုက်ချင်လို့ပါ။
いいですね。いっしょに かいに いきませんか。	Bagus. Mau pergi membeli bersama?	ကောင်းတယ်နော်။ အတူတူ သွားဝယ်ကြမလား။
いいですよ。どようびは どうですか。	Boleh. Bagaimana kalau Sabtu?	ရပါတယ်။ စနေနေ့ဆို ဘယ်လိုလဲ။
どようびは いいです。いきましょう。	Sabtu boleh. Ayo pergi.	စနေနေ့ ရပါတယ်။ သွားကြရအောင်။
すみません、この もんだいを よんで ください。	Maaf, tolong baca soal ini.	တစ်ဆိတ်လောက်၊ ဒီမေးခွန်းကို ဖတ်ပေးပါ။
はい、わかりました。	Ya, mengerti.	ဟုတ်ကဲ့၊ နားလည်ပါပြီ။
この かみも コピーして ください。	Tolong fotokopi kertas ini juga.	ဒီစာရွက်ကိုလည်း မိတ္တူကူးပေးပါ။
なんまい コピーしますか。	Fotokopi berapa lembar?	ဘယ်နှစ်ရွက် ကူးရမလဲ။
5まい おねがいします。てつだいましょうか。	Tolong 5 lembar. Perlu saya bantu?	၅ ရွက် ကူးပေးပါ။ ကူညီပေးရမလား။
ありがとうございます。では、これを はこんで ください。	Terima kasih. Kalau begitu, tolong bawa ini.	ကျေးဇူးတင်ပါတယ်။ ဒါဆိုရင် ဒါကို သယ်ပေးပါ။
ミラーさんは いま なにを していますか。	Pak Miller sekarang sedang apa?	Miller က အခု ဘာလုပ်နေလဲ။
レポートを かいて います。	Sedang menulis laporan.	အစီရင်ခံစာ ရေးနေပါတယ်။
やまださんは？	Kalau Pak Yamada?	Yamada ကရော။
でんわを かけて います。	Sedang menelepon.	ဖုန်းဆက်နေပါတယ်။
きょうは 14ページを よんで ください。	Hari ini tolong baca halaman 14.	ဒီနေ့ စာမျက်နှာ ၁၄ ကို ဖတ်ပါ။
はい。せんせい、この かんじは どう よみますか。	Baik. Bu Guru, kanji ini bagaimana membacanya?	ဟုတ်ကဲ့။ ဆရာ၊ ဒီခန်းဂျီးကို ဘယ်လိုဖတ်ရမလဲ။
「にほん」と よみます。もう いちど よんで ください。	Dibaca "Nihon". Tolong baca sekali lagi.	「にほん」 လို့ ဖတ်ပါတယ်။ နောက်တစ်ခါ ထပ်ဖတ်ပါ။
にほん。	Nihon.	နိဟွန်း။
そうです。では、みんなで いっしょに よみましょう。	Benar. Kalau begitu, mari kita baca bersama-sama.	ဟုတ်ပါပြီ။ ဒါဆိုရင် အားလုံး အတူတူ ဖတ်ကြရအောင်။
せんせい、てつだいましょうか。	Bu Guru, perlu saya bantu?	ဆရာ၊ ကူညီပေးရမလား။
