趣味は何ですか。	Hobi Anda apa?	ဝါသနာက ဘာလဲ။
クラシック音楽を聴くのが好きです。	Saya suka mendengarkan musik klasik.	ဂန္ထဝင်ဂီတ နားထောင်ရတာ ကြိုက်ပါတယ်။
どんな音楽が好きなんですか。	Musik seperti apa yang Anda suka?	ဘယ်လိုဂီတမျိုး ကြိုက်တာလဲ။
ピアノ曲がとくに好きです。一人でこの荷物を運ぶのは無理ですね。	Terutama suka musik piano. Membawa barang ini sendirian tidak mungkin, ya.	စန္ဒယားသီချင်းတွေကို အထူးကြိုက်ပါတယ်။ ဒီပစ္စည်းကို တစ်ယောက်တည်း သယ်ဖို့ကတော့ မဖြစ်နိုင်ဘူးနော်။
手伝いましょうか。	Perlu saya bantu?	ကူညီပေးရမလား။
ありがとうございます。助かります。	Terima kasih. Sangat membantu.	ကျေးဇူးတင်ပါတယ်။ အရမ်းအဆင်ပြေသွားပါပြီ။
電気を消すのを忘れましたか。	Apakah Anda lupa mematikan lampu?	မီးပိတ်ဖို့ မေ့သွားလား။
あ、忘れてしまいました。戻らなければなりませんね。	Ah, saya lupa. Harus kembali, ya.	အာ့၊ မေ့သွားပါပြီ။ ပြန်သွားရတော့မယ်နော်။
近花が生まれたのは北海道の小さな村です。	Tempat lahir Konoka adalah desa kecil di Hokkaido.	Konoka မွေးဖွားခဲ့တဲ့နေရာက ဟော့ကိုင်းဒိုးက ရွာလေးတစ်ရွာပါ။
そうなんですか。北海道は寒いですね。	Oh begitu. Hokkaido dingin, ya.	ဟုတ်လား။ ဟော့ကိုင်းဒိုးက ချမ်းတယ်နော်။
でも自然がきれいで、大好きな場所です。	Tapi alamnya indah, tempat yang sangat saya sukai.	ဒါပေမယ့် သဘာဝက လှလို့ အကြိုက်ဆုံးနေရာပါ။
いつか行ってみたいです。	Suatu saat saya ingin pergi ke sana.	တစ်နေ့နေ့ သွားကြည့်ချင်ပါတယ်။
昨日メールを読んで、安心しました。	Kemarin setelah membaca email, saya merasa lega.	မနေ့က အီးမေးလ်ဖတ်ပြီး စိတ်သက်သာသွားပါတယ်။
よかったです。心配をかけてしまいましたね。	Syukurlah. Maaf sudah membuat khawatir, ya.	ကောင်းပါပြီ။ စိတ်ပူအောင် လုပ်မိသွားတယ်နော်။
病院へ行くので、5時に帰ってもいいですか。	Karena mau ke rumah sakit, boleh pulang jam 5?	ဆေးရုံသွားရမှာမို့ ၅ နာရီမှာ ပြန်လို့ရမလား။
もちろんです。大事にしてください。	Tentu saja. Jaga kesehatan.	ရတာပေါ့။ ကျန်းမာရေး ဂရုစိုက်ပါနော်။
最近地震で人が大勢亡くなりましたね。	Akhir-akhir ini banyak orang meninggal karena gempa, ya.	ဒီတလော ငလျင်ကြောင့် လူအများကြီး ဆုံးပါးသွားတယ်နော်။
はい、とても悲しいニュースでした。	Ya, berita yang sangat menyedihkan.	ဟုတ်ကဲ့၊ အရမ်း ဝမ်းနည်းစရာသတင်းပါ။
被害を受けた地域の人たちのことが心配です。	Saya khawatir dengan orang-orang di daerah yang terkena bencana.	ဘေးဒဏ်ခံရတဲ့ဒေသက လူတွေအတွက် စိတ်ပူပါတယ်။
私たちも何かできることをしたいですね。	Kita juga ingin melakukan sesuatu yang bisa dilakukan, ya.	ငါတို့လည်း တတ်နိုင်တာလေး လုပ်ချင်တယ်နော်။
募金を集めているところがあるそうです。	Katanya ada tempat yang mengumpulkan donasi.	အလှူငွေ ကောက်ခံနေတဲ့နေရာ ရှိတယ်လို့ ဆိုပါတယ်။
ぜひ参加しましょう。	Ayo kita ikut berpartisipasi.	သေချာပေါက် ပါဝင်ကြရအောင်။
どんな問題が試験に出るか、わかりますか。	Apakah Anda tahu soal seperti apa yang akan keluar di ujian?	စာမေးပွဲမှာ ဘယ်လိုမေးခွန်းတွေ ထွက်မလဲဆိုတာ သိလား။
わかりませんが、文法と読解が多いと思います。	Tidak tahu, tapi saya rasa banyak tata bahasa dan membaca.	မသိပေမယ့် သဒ္ဒါနဲ့ အဖတ်စာက များမယ်လို့ ထင်ပါတယ်။
会議室が使えるかどうか、確かめてください。	Tolong pastikan apakah ruang rapat bisa dipakai atau tidak.	အစည်းအဝေးခန်း သုံးလို့ရမရ စစ်ဆေးပေးပါ။
はい、今すぐ確認します。	Baik, saya cek sekarang juga.	ဟုတ်ကဲ့၊ အခုချက်ချင်း စစ်ပေးပါမယ်။
このくつを履いてみてもいいですか。	Boleh saya coba sepatu ini?	ဒီဖိနပ်ကို စီးကြည့်လို့ရမလား။
どうぞ。サイズはいくつですか。	Silakan. Ukurannya berapa?	စီးကြည့်ပါ။ ဆိုက်က ဘယ်လောက်လဲ။
25センチです。少し小さいかもしれません。	25 cm. Mungkin agak kecil.	၂၅ စင်တီမီတာပါ။ နည်းနည်း သေးချင် သေးနေနိုင်ပါတယ်။
別のサイズもありますよ。試してみますか。	Ada ukuran lain juga. Mau mencobanya?	တခြားဆိုက်လည်း ရှိပါတယ်။ စမ်းကြည့်မလား။
はい、お願いします。	Ya, tolong.	ဟုတ်ကဲ့၊ ပြပေးပါ။
こちらはいかがですか。	Bagaimana dengan yang ini?	ဒီတစ်ခုကရော ဘယ်လိုလဲ။
先日は旅行の写真を見せていただきまして、ありがとうございました。	Terima kasih sudah memperlihatkan foto perjalanan tempo hari.	ပြီးခဲ့တဲ့တစ်နေ့က ခရီးသွားဓာတ်ပုံတွေ ပြပေးတဲ့အတွက် ကျေးဇူးတင်ပါတယ်။
いいえ、楽しんでいただけてよかったです。	Tidak apa-apa, saya senang Anda menikmatinya.	ရပါတယ်၊ ကြိုက်နှစ်သက်တယ်ဆိုတော့ ဝမ်းသာပါတယ်။
社長がお土産をくださいました。	Direktur memberi saya oleh-oleh.	ကုမ္ပဏီဥက္ကဋ္ဌက လက်ဆောင် ပေးခဲ့ပါတယ်။
それはご丁寧ですね。何をいただいたんですか。	Baik sekali beliau. Apa yang Anda terima?	စေတနာထားလိုက်တာနော်။ ဘာရခဲ့လဲ။
きれいなお菓子をいただきました。	Saya menerima kue yang cantik.	လှပတဲ့မုန့်တွေ ရခဲ့ပါတယ်။
先生に旅行の写真を見せていただきましたか。	Apakah Anda diperlihatkan foto perjalanan oleh guru?	ဆရာဆီက ခရီးသွားဓာတ်ပုံတွေ ပြခံခဲ့ရလား။
はい、先生が私に旅行の写真を見せてくださいました。	Ya, guru memperlihatkan foto perjalanannya kepada saya.	ဟုတ်ကဲ့၊ ဆရာက ကျွန်တော့်ကို ခရီးသွားဓာတ်ပုံတွေ ပြပေးခဲ့ပါတယ်။
先生は優しいですね。	Guru Anda baik, ya.	ဆရာက သဘောကောင်းတယ်နော်။
ひらがなで書いてくださいませんか、とお願いしました。	Saya minta, "Bisakah Anda menuliskannya dengan hiragana?"	ဟိရဂနနဲ့ ရေးပေးလို့ရမလားလို့ တောင်းဆိုခဲ့ပါတယ်။
先生はすぐに書いてくださいましたか？	Apakah guru langsung menuliskannya?	ဆရာက ချက်ချင်း ရေးပေးခဲ့လား။
どうしてそんなに一生懸命働いているんですか。	Kenapa Anda bekerja begitu keras?	ဘာကြောင့် အဲလောက် ကြိုးကြိုးစားစား အလုပ်လုပ်နေတာလဲ။
家を買うために、一生懸命働いています。	Saya bekerja keras untuk membeli rumah.	အိမ်ဝယ်ဖို့အတွက် ကြိုးကြိုးစားစား အလုပ်လုပ်နေပါတယ်။
貯金はどのくらいしていますか。	Berapa banyak Anda menabung?	ငွေစုတာက ဘယ်လောက် စုနေလဲ။
毎月少しずつ貯めています。家を建てるのに2000万円かかるんです。	Menabung sedikit demi sedikit setiap bulan. Membangun rumah butuh 20 juta yen.	လတိုင်း တဖြည်းဖြည်း စုနေပါတယ်။ အိမ်ဆောက်ဖို့ ယန်း သန်း ၂၀ ကုန်ကျမှာမို့ပါ။
