最近、体の調子が悪いんです。	Akhir-akhir ini kondisi badan saya kurang baik.	ဒီတလော နေမကောင်းဖြစ်နေပါတယ်။
それは大変ですね。病院へ行ったほうがいいですよ。	Kasihan sekali. Sebaiknya pergi ke rumah sakit.	အဲဒါ စိတ်မကောင်းစရာပဲနော်။ ဆေးရုံသွားတာ ကောင်းပါတယ်။
そうですね。でも、忙しくて……。	Benar. Tapi saya sibuk...	ဟုတ်တယ်နော်။ ဒါပေမယ့် အလုပ်များနေလို့...
無理をすると、もっと悪くなるかもしれませんよ。	Kalau memaksakan diri, mungkin bisa jadi lebih parah.	အားစိုက်လွန်းရင် ပိုဆိုးလာနိုင်ပါတယ်။
そうですね。今夜は早く寝たほうがいいですか。	Benar juga. Apakah malam ini sebaiknya tidur cepat?	ဟုတ်တယ်နော်။ ဒီည စောစောအိပ်တာ ကောင်းမလား။
はい、薬も飲んだほうがいいでしょう。	Ya, sebaiknya minum obat juga.	ဟုတ်ကဲ့၊ ဆေးလည်း သောက်တာ ကောင်းပါလိမ့်မယ်။
明日の会議、出られないかもしれません。	Rapat besok, mungkin saya tidak bisa hadir.	မနက်ဖြန် အစည်းအဝေး မတက်နိုင်ချင် တက်နိုင်မှာပါ။
それは心配ですね。今夜はゆっくり休めるでしょうか。	Itu mengkhawatirkan, ya. Apakah malam ini Anda bisa istirahat dengan tenang?	အဲဒါ စိုးရိမ်စရာပဲနော်။ ဒီည အေးအေးဆေးဆေး နားနိုင်မလား။
はい、今日は早退してもいいと言われました。	Ya, saya diizinkan pulang lebih awal hari ini.	ဟုတ်ကဲ့၊ ဒီနေ့ စောစောပြန်လို့ရတယ်လို့ ပြောခံရပါတယ်။
よかったです。お大事に。	Syukurlah. Semoga cepat sembuh.	ကောင်းပါပြီ။ မြန်မြန် သက်သာပါစေနော်။
今夜、橋が見えるでしょうか。	Malam ini, apakah jembatannya akan terlihat?	ဒီည တံတားကို မြင်ရနိုင်မလား။
天気予報では晴れると言っていましたよ。	Ramalan cuaca bilang akan cerah.	မိုးလေဝသခန့်မှန်းချက်မှာ နေသာမယ်လို့ ပြောပါတယ်။
彼はパーティーに来るでしょうか。	Apakah dia akan datang ke pesta?	သူ ပါတီကို လာမလား။
来るかもしれませんが、仕事があるかもしれません。	Mungkin datang, tapi mungkin juga ada pekerjaan.	လာချင်လာနိုင်ပေမယ့် အလုပ်ရှိနေချင်လည်း ရှိနေနိုင်ပါတယ်။
連絡してみましたか。	Apakah sudah coba menghubunginya?	ဆက်သွယ်ကြည့်ပြီးပြီလား။
メッセージを送りましたが、まだ返事がないんです。	Sudah kirim pesan, tapi belum ada balasan.	မက်ဆေ့ချ် ပို့ထားပေမယ့် အဖြေ မရသေးပါဘူး။
もう少し待ったほうがいいですね。	Sebaiknya tunggu sebentar lagi, ya.	နောက်ထပ် နည်းနည်း စောင့်တာ ကောင်းမယ်နော်။
そうですね。あと1時間ぐらい待ってみます。	Benar. Saya coba tunggu sekitar 1 jam lagi.	ဟုတ်တယ်နော်။ နောက်ထပ် တစ်နာရီလောက် စောင့်ကြည့်ပါမယ်။
来なかったら、料理が残ってしまいますね。	Kalau tidak datang, makanannya akan tersisa, ya.	မလာရင် ဟင်းတွေ ကျန်နေတော့မယ်နော်။
持って帰ってもらえばいいですよ。	Suruh saja dibawa pulang.	ယူပြန်ခိုင်းလိုက်ရင် ရပါတယ်။
