ここでは タバコを すわないで ください。	Di sini jangan merokok.	ဒီမှာ ဆေးလိပ် မသောက်ပါနဲ့။
はい、わかりました。	Ya, mengerti.	ဟုတ်ကဲ့၊ နားလည်ပါပြီ။
しゅくだいは かならず だしなければ なりません。	Pekerjaan rumah harus selalu dikumpulkan.	အိမ်စာကို မဖြစ်မနေ တင်ရပါမယ်။
まいにち しゅくだいが ありますか。	Apakah setiap hari ada PR?	နေ့တိုင်း အိမ်စာ ရှိလား။
はい、でも にちようびは しなくても いいです。	Ya, tapi hari Minggu tidak perlu mengerjakan.	ဟုတ်ကဲ့၊ ဒါပေမယ့် တနင်္ဂနွေနေ့တော့ မလုပ်လည်း ရပါတယ်။
では、きょうは しなければ なりませんか。	Kalau begitu, hari ini harus mengerjakan?	ဒါဆိုရင် ဒီနေ့ လုပ်ရမှာလား။
はい、きょうは しなければ なりません。	Ya, hari ini harus mengerjakan.	ဟုတ်ကဲ့၊ ဒီနေ့တော့ လုပ်ရပါမယ်။
わかりました。なんじまでに だしますか。	Mengerti. Dikumpulkan sebelum jam berapa?	နားလည်ပါပြီ။ ဘယ်နှစ်နာရီအထိ တင်ရမလဲ။
あしたの 9じまでに だして ください。	Tolong kumpulkan sebelum jam 9 besok.	မနက်ဖြန် ၉ နာရီမတိုင်ခင် တင်ပါ။
なまえを かかなければ なりませんか。	Apakah harus menulis nama?	နာမည် ရေးရမှာလား။
なまえは かかなくても いいですよ。	Nama tidak perlu ditulis.	နာမည်တော့ မရေးလည်း ရပါတယ်။
としょかんの ほんを かえさなければ なりません。	Saya harus mengembalikan buku perpustakaan.	စာကြည့်တိုက်စာအုပ်ကို ပြန်အပ်ရပါမယ်။
いつまでに かえしますか。	Harus dikembalikan sebelum kapan?	ဘယ်တော့အထိ ပြန်အပ်ရမလဲ။
きんようびまでです。まだ よんで いません。	Sebelum Jumat. Saya belum membacanya.	သောကြာနေ့အထိပါ။ မဖတ်ရသေးပါဘူး။
いそいで よまなければ なりませんね。	Harus cepat-cepat membacanya, ya.	အမြန်ဖတ်ရတော့မယ်နော်။
はい。レポートも かかなければ なりません。	Ya. Laporan juga harus ditulis.	ဟုတ်ကဲ့။ အစီရင်ခံစာလည်း ရေးရပါဦးမယ်။
レポートは なんにちまでですか。	Laporan sampai tanggal berapa?	အစီရင်ခံစာက ဘယ်နေ့အထိလဲ။
らいしゅうの すいようびまでです。	Sampai Rabu minggu depan.	နောက်အပတ် ဗုဒ္ဓဟူးနေ့အထိပါ။
じかんが ありますね。ゆっくり かいても いいですよ。	Masih ada waktu, ya. Boleh menulis pelan-pelan.	အချိန်ရှိသေးတယ်နော်။ ဖြည်းဖြည်းရေးလည်း ရပါတယ်။
はい、でも はやく かきたいです。	Ya, tapi saya ingin cepat menulisnya.	ဟုတ်ကဲ့၊ ဒါပေမယ့် မြန်မြန်ရေးချင်ပါတယ်။
てつだいましょうか。	Perlu saya bantu?	ကူညီပေးရမလား။
ミラーさんは なにが できますか。	Pak Miller bisa apa?	Miller က ဘာတတ်လဲ။
にほんごを はなすことが できます。かんじも よむことが できます。	Bisa berbicara bahasa Jepang. Bisa membaca kanji juga.	ဂျပန်စကား ပြောတတ်ပါတယ်။ ခန်းဂျီးလည်း ဖတ်တတ်ပါတယ်။
すごいですね。りょうりは できますか。	Hebat, ya. Apakah bisa memasak?	တော်လိုက်တာနော်။ ဟင်းချက်တတ်လား။
すこし できます。にほんりょうりを つくることが できます。	Bisa sedikit. Bisa membuat masakan Jepang.	နည်းနည်း တတ်ပါတယ်။ ဂျပန်ဟင်း ချက်တတ်ပါတယ်။
ここで コピーすることが できますか。	Apakah bisa fotokopi di sini?	ဒီမှာ မိတ္တူကူးလို့ ရလား။
はい、できます。きっぷも ここで かうことが できますよ。	Ya, bisa. Tiket juga bisa dibeli di sini.	ရပါတယ်။ လက်မှတ်လည်း ဒီမှာ ဝယ်လို့ရပါတယ်။
しゅみは なんですか。	Hobi Anda apa?	ဝါသနာက ဘာလဲ။
わたしの しゅみは どうぶつの しゃしんを とることです。	Hobi saya memotret binatang.	ကျွန်တော့်ဝါသနာက တိရစ္ဆာန်ဓာတ်ပုံ ရိုက်တာပါ။
いいですね。ねるまえに なにを しますか。	Bagus, ya. Sebelum tidur Anda melakukan apa?	ကောင်းတယ်နော်။ မအိပ်ခင် ဘာလုပ်လဲ။
ねるまえに ほんを よみます。	Sebelum tidur saya membaca buku.	မအိပ်ခင် စာအုပ်ဖတ်ပါတယ်။
あさ おきてから なにを しますか。	Setelah bangun pagi, Anda melakukan apa?	မနက် အိပ်ရာထပြီးရင် ဘာလုပ်လဲ။
かおを あらってから、あさごはんを たべます。	Setelah cuci muka, makan sarapan.	မျက်နှာသစ်ပြီးမှ မနက်စာ စားပါတယ်။
がっこうへ いくまえに なにを しますか。	Sebelum pergi ke sekolah, Anda melakukan apa?	ကျောင်းမသွားခင် ဘာလုပ်လဲ။
でかけるまえに、かばんの なかを かくにんします。	Sebelum berangkat, memeriksa isi tas.	အပြင်မထွက်ခင် အိတ်ထဲကို စစ်ဆေးပါတယ်။
にほんごを はなすことが できますか。	Apakah Anda bisa berbicara bahasa Jepang?	ဂျပန်စကား ပြောတတ်လား။
すこし できます。もっと じょうずに なりたいです。	Bisa sedikit. Ingin menjadi lebih pandai.	နည်းနည်း တတ်ပါတယ်။ ပိုတော်အောင် လုပ်ချင်ပါတယ်။
まいにち れんしゅうすることが たいせつですよ。	Berlatih setiap hari itu penting.	နေ့တိုင်း လေ့ကျင့်တာက အရေးကြီးပါတယ်။
はい、ねるまえに まいにち べんきょうします。	Ya, setiap hari saya belajar sebelum tidur.	ဟုတ်ကဲ့၊ မအိပ်ခင် နေ့တိုင်း လေ့လာပါတယ်။
あなたの しゅみは なんですか。	Hobi Anda apa?	ခင်ဗျားရဲ့ဝါသနာက ဘာလဲ။
おんがくを きくことです。まいにち きいて います。	Mendengarkan musik. Setiap hari saya mendengarkannya.	သီချင်းနားထောင်တာပါ။ နေ့တိုင်း နားထောင်နေပါတယ်။
おきなわへ いったことが ありますか。	Apakah Anda pernah pergi ke Okinawa?	အိုကီနာဝါကို ရောက်ဖူးလား။
はい、いちど いったことが あります。	Ya, pernah pergi sekali.	ဟုတ်ကဲ့၊ တစ်ခါ ရောက်ဖူးပါတယ်။
どうでしたか。	Bagaimana?	ဘယ်လိုလဲ။
うみが きれいで、たのしかったです。	Lautnya indah dan menyenangkan.	ပင်လယ်က လှပြီး ပျော်ခဲ့ရပါတယ်။
ふじさんへ のぼったことが ありますか。	Apakah Anda pernah mendaki Gunung Fuji?	ဖူဂျီတောင်ကို တက်ဖူးလား။
いいえ、まだ ありません。のぼってみたいです。	Belum pernah. Saya ingin mencoba mendakinya.	မတက်ဖူးသေးပါဘူး။ တက်ကြည့်ချင်ပါတယ်။
やすみの ひは なにを しますか。	Hari libur Anda melakukan apa?	နားရက်မှာ ဘာလုပ်လဲ။
まいばん テレビを みたり、ほんを よんだり します。	Setiap malam menonton TV, membaca buku, dan lain-lain.	ညတိုင်း တီဗီကြည့်လိုက် စာအုပ်ဖတ်လိုက် လုပ်ပါတယ်။
テレーザちゃんは おおきく なりましたね。	Teresa sudah besar, ya.	Teresa လေးက ကြီးလာပြီနော်။
ええ、せが たかく なりました。もう 9さいです。	Ya, dia sudah bertambah tinggi. Sudah 9 tahun.	ဟုတ်ပါတယ်၊ အရပ်ရှည်လာပါပြီ။ ၉ နှစ် ရှိပါပြီ။
にほんの たべものを たべたことが ありますか。	Apakah Anda pernah makan makanan Jepang?	ဂျပန်အစားအစာ စားဖူးလား။
はい、すしや てんぷらを たべたことが あります。	Ya, pernah makan sushi dan tempura.	ဟုတ်ကဲ့၊ ဆူရှီတို့ တင်ပူရာတို့ စားဖူးပါတယ်။
