なにが すきですか。	Anda suka apa?	ဘာကြိုက်လဲ။
えいがが すきです。	Saya suka film.	ရုပ်ရှင် ကြိုက်ပါတယ်။
どんな えいがが すきですか。	Film seperti apa yang Anda suka?	ဘယ်လိုရုပ်ရှင်မျိုး ကြိုက်လဲ။
にほんの えいがが すきです。アニメも すきです。	Saya suka film Jepang. Anime juga suka.	ဂျပန်ရုပ်ရှင် ကြိုက်ပါတယ်။ အန်နီမေးလည်း ကြိုက်ပါတယ်။
サッカーは どうですか。	Bagaimana dengan sepak bola?	ဘောလုံးကရော ဘယ်လိုလဲ။
サッカーも すきです。サントスさんは サッカーが じょうずですよ。	Sepak bola juga suka. Pak Santos pandai bermain sepak bola, lho.	ဘောလုံးလည်း ကြိုက်ပါတယ်။ Santos က ဘောလုံး တော်ပါတယ်။
ひらがなは わかりますか。	Apakah Anda mengerti hiragana?	ဟီရာဂန း နားလည်လား။
はい、わかります。でも、かんじは まだ わかりません。	Ya, mengerti. Tapi kanji belum mengerti.	ဟုတ်ကဲ့၊ နားလည်ပါတယ်။ ဒါပေမယ့် ခန်းဂျီးကတော့ မနားလည်သေးပါဘူး။
どうして べんきょうしますか。	Kenapa Anda belajar?	ဘာကြောင့် လေ့လာတာလဲ။
にほんが すきですから、べんきょうします。	Karena saya suka Jepang, saya belajar.	ဂျပန်ကို ကြိုက်လို့ လေ့လာတာပါ။
まいにち テレビを みますか。	Apakah Anda menonton TV setiap hari?	နေ့တိုင်း တီဗီ ကြည့်လား။
いいえ、みません。いそがしいですから。	Tidak. Karena saya sibuk.	မကြည့်ပါဘူး။ အလုပ်များလို့ပါ။
おかねが ありますか。	Apakah Anda punya uang?	ပိုက်ဆံ ရှိလား။
いいえ、あまり ありません。	Tidak, tidak banyak.	သိပ်မရှိပါဘူး။
どうして？	Kenapa?	ဘာကြောင့်လဲ။
まいにち かいものを しますから、おかねが ありません。	Karena setiap hari berbelanja, saya tidak punya uang.	နေ့တိုင်း ဈေးဝယ်လို့ ပိုက်ဆံမရှိတော့ပါဘူး။
にほんごが わかりますか。	Apakah Anda mengerti bahasa Jepang?	ဂျပန်စကား နားလည်လား။
すこし わかります。でも、まだ むずかしいです。	Mengerti sedikit. Tapi masih sulit.	နည်းနည်း နားလည်ပါတယ်။ ဒါပေမယ့် ခက်သေးပါတယ်။
だいじょうぶですよ。いっしょに べんきょうしましょう。	Tidak apa-apa. Ayo belajar bersama.	ရပါတယ်။ အတူတူ လေ့လာကြရအောင်။
ありがとうございます。	Terima kasih.	ကျေးဇူးတင်ပါတယ်။
このへんに スーパーが ありますか。	Apakah di sekitar sini ada supermarket?	ဒီနားမှာ စူပါမားကက် ရှိလား။
はい、あそこに あります。	Ya, ada di sana.	ဟုတ်ကဲ့၊ ဟိုမှာ ရှိပါတယ်။
ぎんこうも ありますか。	Apakah ada bank juga?	ဘဏ်လည်း ရှိလား။
はい、スーパーの となりに ぎんこうが あります。	Ya, di sebelah supermarket ada bank.	ဟုတ်ကဲ့၊ စူပါမားကက်ဘေးမှာ ဘဏ်ရှိပါတယ်။
きっさてんは どこですか。	Kedai kopi di mana?	ကော်ဖီဆိုင်က ဘယ်မှာလဲ။
